,origin,age,gender,education,job_title,coding_experience,salary,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7
1095,2081,25-29,Man,Master’s degree,Research Scientist,10-20 years,"100,000-124,999",,"1",1,1,1,,
1098,2084,45-49,Other,Master’s degree,Data Scientist,20+ years,"150,000-199,999",1,"1",1,1,1,1,
1099,2085,35-39,Man,Bachelor’s degree,Data Scientist,10-20 years,"125,000-149,999",1,,,,,,
1101,2087,35-39,Woman,Doctoral degree,Research Scientist,5-10 years,"50,000-59,999",1,,,,1,,
1102,2088,22-24,Man,Bachelor’s degree,Data Scientist,1-2 years,$0-999,1,,,,1,1,
1103,2090,35-39,Man,Master’s degree,Research Scientist,5-10 years,"40,000-49,999",1,"1",1,1,1,1,
1104,2092,40-44,Man,Master’s degree,Research Scientist,3-5 years,"40,000-49,999",,,1,1,,,
1105,2094,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"7,500-9,999",,,,,,,None of these activities are an important part of my role at work
1106,2095,25-29,Man,Master’s degree,Software Engineer,< 1 years,$0-999,1,,,,,,
1107,2096,60-69,Man,Doctoral degree,Statistician,20+ years,"50,000-59,999",1,,,,,1,
1109,2105,35-39,Man,Doctoral degree,Data Scientist,3-5 years,"50,000-59,999",1,,1,1,,,
1110,2106,18-21,Man,Bachelor’s degree,Software Engineer,1-2 years,$0-999,1,,1,,1,,
1111,2107,30-34,Man,Bachelor’s degree,Data Analyst,1-2 years,"40,000-49,999",1,,,,,,
1112,2109,18-21,Man,Bachelor’s degree,Software Engineer,< 1 years,$0-999,1,"1",,,,,
1113,2110,22-24,Man,Master’s degree,Data Scientist,1-2 years,$0-999,,,1,1,,,
1114,2113,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"10,000-14,999",,"1",1,,1,1,
1115,2115,22-24,Man,Bachelor’s degree,Data Engineer,3-5 years,"1,000-1,999",,"1",,,,,
1116,2119,30-34,Man,Master’s degree,Data Scientist,3-5 years,"15,000-19,999",,,1,1,,1,
1117,2121,30-34,Man,Master’s degree,Data Scientist,1-2 years,$0-999,1,,,,,,
1118,2123,18-21,Woman,Bachelor’s degree,Statistician,< 1 years,$0-999,,,,,,1,
1119,2129,40-44,Woman,Bachelor’s degree,Data Analyst,10-20 years,"70,000-79,999",1,,,,,,
1120,2132,22-24,Man,Bachelor’s degree,Software Engineer,3-5 years,"4,000-4,999",1,"1",,,,,
1122,2135,30-34,Man,Bachelor’s degree,Data Analyst,3-5 years,"60,000-69,999",1,,1,,1,,
1123,2137,35-39,Man,Master’s degree,Data Analyst,5-10 years,$0-999,1,,,,,,
1124,2139,25-29,Woman,Master’s degree,Machine Learning Engineer,5-10 years,"10,000-14,999",,"1",1,1,1,1,
1125,2142,30-34,Man,Bachelor’s degree,Data Analyst,1-2 years,$0-999,1,,,,,,
1126,2143,60-69,Man,Master’s degree,Software Engineer,20+ years,$0-999,,,1,,,,
1127,2144,35-39,Man,Master’s degree,Research Scientist,20+ years,"3,000-3,999",,,,,,1,
1128,2145,18-21,Man,Some college/university study without earning a bachelor’s degree,Software Engineer,I have never written code,$0-999,,,,,,,
1129,2146,30-34,Woman,Doctoral degree,Data Scientist,3-5 years,"100,000-124,999",1,,1,1,1,,
1130,2147,22-24,Woman,Master’s degree,Data Analyst,3-5 years,"3,000-3,999",,"1",,,,,
1131,2148,35-39,Man,Master’s degree,Data Scientist,10-20 years,"80,000-89,999",1,"1",1,1,,1,
1133,2151,30-34,Woman,Doctoral degree,Statistician,5-10 years,"60,000-69,999",1,,,,1,,
1134,2152,30-34,Man,Doctoral degree,Machine Learning Engineer,10-20 years,"20,000-24,999",,,1,,,1,
1135,2154,25-29,Man,Master’s degree,Data Analyst,3-5 years,"25,000-29,999",1,"1",,,,,
1136,2156,22-24,Man,Bachelor’s degree,Business Analyst,< 1 years,"5,000-7,499",1,,,,,,
1137,2158,25-29,Man,Professional degree,Product/Project Manager,I have never written code,"40,000-49,999",,,1,,,,
1138,2161,22-24,Man,Master’s degree,Software Engineer,3-5 years,$0-999,,,,,,,None of these activities are an important part of my role at work
1139,2165,30-34,Man,Master’s degree,Software Engineer,10-20 years,"1,000-1,999",1,,,,,,
1140,2168,22-24,Man,Master’s degree,Data Scientist,< 1 years,$0-999,1,"1",1,1,1,,
1141,2169,22-24,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,,,,,,1,
1142,2170,30-34,Man,Bachelor’s degree,Software Engineer,5-10 years,"1,000-1,999",,,,,,,None of these activities are an important part of my role at work
1143,2171,18-21,Woman,Bachelor’s degree,Data Engineer,3-5 years,$0-999,1,"1",,,1,1,
1144,2172,22-24,Man,Master’s degree,Data Analyst,< 1 years,$0-999,1,,,,,,
1145,2173,50-54,Woman,Master’s degree,Business Analyst,3-5 years,"2,000-2,999",,,,,,,
1146,2174,40-44,Man,Master’s degree,Data Analyst,3-5 years,"40,000-49,999",1,,1,1,,1,
1147,2175,25-29,Woman,Master’s degree,Software Engineer,1-2 years,"4,000-4,999",,,,,,,None of these activities are an important part of my role at work
1148,2176,25-29,Man,Master’s degree,Software Engineer,3-5 years,$0-999,,,,,,,None of these activities are an important part of my role at work
1150,2179,35-39,Man,Doctoral degree,Data Analyst,3-5 years,"7,500-9,999",,,,,,1,
1151,2180,40-44,Man,Bachelor’s degree,Data Scientist,10-20 years,"90,000-99,999",1,,1,1,,,
1152,2182,45-49,Man,Doctoral degree,Research Scientist,5-10 years,"70,000-79,999",1,"1",1,1,1,1,
1153,2183,45-49,Man,Master’s degree,Data Analyst,10-20 years,"125,000-149,999",1,"1",,,,,
1154,2185,55-59,Man,Doctoral degree,Data Scientist,20+ years,"> $500,000",,,,,,,None of these activities are an important part of my role at work
1155,2186,50-54,Woman,Doctoral degree,Research Scientist,5-10 years,"50,000-59,999",,,1,,,,
1156,2187,25-29,Man,Master’s degree,Product/Project Manager,1-2 years,"50,000-59,999",,,1,,1,,
1157,2189,22-24,Woman,Master’s degree,Software Engineer,3-5 years,"1,000-1,999",,,,,,,None of these activities are an important part of my role at work
1158,2190,50-54,Man,Master’s degree,Software Engineer,20+ years,"125,000-149,999",1,"1",1,,,,
1159,2191,40-44,Man,Master’s degree,DBA/Database Engineer,5-10 years,$0-999,1,"1",,,,,
1161,2194,18-21,Man,Professional degree,Data Scientist,I have never written code,$0-999,1,,,,,,
1162,2196,35-39,Man,Master’s degree,Research Scientist,1-2 years,"1,000-1,999",1,,,,,1,
1163,2198,22-24,Man,Bachelor’s degree,Data Scientist,5-10 years,"1,000-1,999",1,"1",1,1,,,
1164,2199,25-29,Man,Master’s degree,Research Scientist,1-2 years,$0-999,1,"1",1,,1,1,
1166,2206,25-29,Man,Master’s degree,Software Engineer,5-10 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
1167,2208,35-39,Man,Doctoral degree,Software Engineer,3-5 years,"1,000-1,999",,,,,1,1,
1168,2213,35-39,Man,Master’s degree,Product/Project Manager,10-20 years,"40,000-49,999",1,,,,,,
1169,2214,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"7,500-9,999",,,,,,,None of these activities are an important part of my role at work
1170,2215,30-34,Woman,Master’s degree,Data Scientist,3-5 years,"20,000-24,999",,,1,1,1,,
1171,2216,35-39,Man,Doctoral degree,Product/Project Manager,5-10 years,"125,000-149,999",,"1",1,1,,,
1172,2219,40-44,Man,Some college/university study without earning a bachelor’s degree,Data Scientist,10-20 years,"20,000-24,999",1,,,,,,
1173,2224,30-34,Man,Bachelor’s degree,Business Analyst,1-2 years,"40,000-49,999",1,"1",,,,,
1174,2226,25-29,Man,Bachelor’s degree,Data Scientist,1-2 years,"1,000-1,999",1,"1",1,1,,,
1175,2227,45-49,Woman,Bachelor’s degree,Product/Project Manager,I have never written code,"60,000-69,999",1,"1",,,,,
1176,2230,55-59,Woman,Master’s degree,Data Analyst,10-20 years,"150,000-199,999",1,,,,,,
1177,2234,45-49,Other,Master’s degree,Data Engineer,10-20 years,"200,000-249,999",,"1",1,1,,,
1178,2240,30-34,Man,Professional degree,Research Scientist,1-2 years,"2,000-2,999",1,"1",1,1,,1,
1179,2241,18-21,Man,I prefer not to answer,Business Analyst,1-2 years,$0-999,,,,1,,,
1180,2242,22-24,Woman,Master’s degree,Software Engineer,3-5 years,$0-999,,,,,,,None of these activities are an important part of my role at work
1181,2243,30-34,Other,Doctoral degree,Data Scientist,3-5 years,"40,000-49,999",1,,,,,,
1182,2244,45-49,Man,I prefer not to answer,Software Engineer,1-2 years,"2,000-2,999",,,,,,,None of these activities are an important part of my role at work
1183,2247,30-34,Man,Professional degree,Data Scientist,3-5 years,"25,000-29,999",1,,,1,1,,
1186,2256,18-21,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,"10,000-14,999",1,"1",1,,,,
1187,2257,45-49,Woman,Doctoral degree,Software Engineer,5-10 years,"30,000-39,999",1,,1,,,,
1188,2261,35-39,Man,Doctoral degree,Data Scientist,10-20 years,"90,000-99,999",1,"1",1,1,1,,
1189,2262,45-49,Man,Bachelor’s degree,Software Engineer,10-20 years,"7,500-9,999",,,,,,,
1190,2263,25-29,Woman,Master’s degree,Machine Learning Engineer,1-2 years,"2,000-2,999",1,"1",1,1,,1,
1192,2266,25-29,Man,Professional degree,Machine Learning Engineer,< 1 years,$0-999,,,,,1,,
1193,2267,25-29,Man,Master’s degree,Data Scientist,5-10 years,"30,000-39,999",,,1,,1,1,
1194,2269,18-21,Man,Master’s degree,Machine Learning Engineer,1-2 years,$0-999,1,"1",1,,1,,
1195,2270,35-39,Man,Master’s degree,Data Scientist,5-10 years,"125,000-149,999",1,,1,,,,
1196,2271,30-34,Woman,Master’s degree,Data Analyst,3-5 years,"1,000-1,999",1,,,,,,
1197,2273,45-49,Man,Master’s degree,Software Engineer,20+ years,"150,000-199,999",,,,,,,None of these activities are an important part of my role at work
1198,2274,40-44,Man,Bachelor’s degree,Business Analyst,3-5 years,"70,000-79,999",1,,,,,,
1199,2276,25-29,Woman,Bachelor’s degree,Data Scientist,1-2 years,"40,000-49,999",1,"1",,,,,
1201,2278,25-29,Man,Bachelor’s degree,Software Engineer,3-5 years,"7,500-9,999",1,,,,,,
1202,2279,35-39,Man,Doctoral degree,Research Scientist,10-20 years,"125,000-149,999",1,"1",1,1,1,1,
1203,2280,35-39,Man,Doctoral degree,Machine Learning Engineer,5-10 years,"150,000-199,999",1,"1",1,1,1,,
1204,2281,35-39,Man,Bachelor’s degree,Data Analyst,1-2 years,"30,000-39,999",1,,,1,,,
1205,2286,25-29,Man,Master’s degree,Statistician,1-2 years,$0-999,1,,,,,,
1206,2288,18-21,Man,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-2 years,"5,000-7,499",,"1",,,,,
1207,2290,35-39,Man,Master’s degree,Product/Project Manager,10-20 years,"70,000-79,999",1,"1",1,1,1,1,
1208,2291,45-49,Man,Master’s degree,Data Analyst,10-20 years,"90,000-99,999",1,"1",1,1,1,1,
1211,2297,22-24,Man,Bachelor’s degree,Machine Learning Engineer,< 1 years,$0-999,,,,,,,
1212,2298,22-24,Man,Bachelor’s degree,Software Engineer,3-5 years,"5,000-7,499",1,"1",,,,,
1213,2299,50-54,Man,Bachelor’s degree,Software Engineer,20+ years,$0-999,,,,,,,None of these activities are an important part of my role at work
1214,2303,40-44,Man,Master’s degree,Data Scientist,3-5 years,"40,000-49,999",1,"1",,,,,
1215,2310,30-34,Man,Master’s degree,Software Engineer,3-5 years,"30,000-39,999",1,"1",,,,,
1216,2312,35-39,Man,Master’s degree,Data Scientist,3-5 years,"50,000-59,999",1,"1",1,,1,1,
1217,2313,30-34,Man,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years,"60,000-69,999",,,,,,,None of these activities are an important part of my role at work
1218,2315,40-44,Woman,Master’s degree,Data Analyst,1-2 years,"40,000-49,999",1,"1",1,,,,
1220,2319,35-39,Man,Bachelor’s degree,Software Engineer,10-20 years,"40,000-49,999",,,,,,,None of these activities are an important part of my role at work
1221,2322,35-39,Man,Bachelor’s degree,Software Engineer,10-20 years,"20,000-24,999",1,,,1,,,
1222,2323,30-34,Man,Master’s degree,Machine Learning Engineer,5-10 years,"40,000-49,999",,"1",1,1,1,1,
1223,2324,25-29,Man,Master’s degree,Software Engineer,3-5 years,"25,000-29,999",,,,,,,None of these activities are an important part of my role at work
1226,2329,35-39,Woman,Doctoral degree,Research Scientist,I have never written code,"1,000-1,999",,,,,,1,
1227,2332,25-29,Man,Bachelor’s degree,Machine Learning Engineer,5-10 years,"125,000-149,999",,,1,,1,1,
1228,2334,22-24,Man,Master’s degree,Data Analyst,< 1 years,$0-999,1,,,,,,
1230,2340,25-29,Man,Professional degree,Data Analyst,3-5 years,"7,500-9,999",1,,1,,,,
1231,2343,22-24,Woman,Bachelor’s degree,Software Engineer,1-2 years,$0-999,,,,,,,None of these activities are an important part of my role at work
1232,2345,35-39,Woman,Bachelor’s degree,Data Analyst,1-2 years,"7,500-9,999",1,,,,,,
1233,2346,30-34,Man,Bachelor’s degree,Data Engineer,5-10 years,"40,000-49,999",,,,,,,None of these activities are an important part of my role at work
1234,2349,18-21,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,"10,000-14,999",,"1",,1,,1,
1235,2350,35-39,Man,Master’s degree,Data Scientist,5-10 years,"3,000-3,999",1,"1",1,1,1,,
1237,2355,30-34,Man,Doctoral degree,Business Analyst,< 1 years,"2,000-2,999",1,"1",,,,,
1238,2356,30-34,Man,Master’s degree,Software Engineer,5-10 years,"30,000-39,999",1,,1,,,,
1240,2359,30-34,Man,Doctoral degree,Data Analyst,< 1 years,"70,000-79,999",1,,,,,,
1241,2360,22-24,Man,Bachelor’s degree,Data Scientist,3-5 years,"7,500-9,999",1,,,1,1,1,
1242,2361,25-29,Man,Professional degree,Data Scientist,3-5 years,"10,000-14,999",1,,,,,,
1243,2362,25-29,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,1,,,,,,
1244,2363,22-24,Man,Bachelor’s degree,Data Scientist,3-5 years,$0-999,1,"1",1,1,,,
1248,2368,25-29,Man,Master’s degree,Machine Learning Engineer,5-10 years,$0-999,,"1",1,1,1,1,
1250,2371,40-44,Man,Doctoral degree,Research Scientist,20+ years,"150,000-199,999",,,1,,1,1,
1251,2373,55-59,Woman,Master’s degree,Research Scientist,10-20 years,"100,000-124,999",1,,,,,,
1253,2376,30-34,Man,Master’s degree,Software Engineer,5-10 years,"100,000-124,999",1,"1",1,1,1,,
1254,2380,45-49,Man,No formal education past high school,Research Scientist,3-5 years,"100,000-124,999",1,,,,,,
1255,2385,60-69,Man,Master’s degree,Data Scientist,3-5 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
1257,2388,25-29,Man,Master’s degree,Business Analyst,3-5 years,"70,000-79,999",1,,,,,,
1258,2390,25-29,Man,Bachelor’s degree,DBA/Database Engineer,1-2 years,$0-999,1,,,,,,
1259,2392,18-21,Man,Bachelor’s degree,Data Scientist,1-2 years,"2,000-2,999",1,,1,,,1,
1260,2393,55-59,Man,Doctoral degree,Software Engineer,20+ years,"125,000-149,999",,"1",,,,,
1261,2395,25-29,Woman,Doctoral degree,Research Scientist,3-5 years,"1,000-1,999",,,,1,,1,
1263,2399,18-21,Man,Bachelor’s degree,Data Analyst,1-2 years,$0-999,1,,,,,,
1264,2400,40-44,Man,Doctoral degree,Data Scientist,20+ years,"200,000-249,999",1,"1",1,1,1,,
1265,2402,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"1,000-1,999",,,,,,1,
1266,2404,45-49,Man,Master’s degree,Data Engineer,10-20 years,"150,000-199,999",,"1",,,,,
1267,2406,30-34,Woman,Doctoral degree,Data Scientist,5-10 years,"125,000-149,999",1,"1",1,,,,
1269,2409,45-49,Man,Master’s degree,Data Engineer,10-20 years,"40,000-49,999",1,"1",1,1,1,,
1270,2410,45-49,Man,Master’s degree,Data Scientist,10-20 years,"1,000-1,999",,"1",,,,,
1271,2411,25-29,Woman,Bachelor’s degree,Software Engineer,< 1 years,$0-999,1,"1",,,1,,
1272,2414,60-69,Woman,Doctoral degree,Research Scientist,I have never written code,"25,000-29,999",,,,,,,None of these activities are an important part of my role at work
1273,2415,60-69,Man,Doctoral degree,Software Engineer,20+ years,"150,000-199,999",,,1,1,1,1,
1274,2416,25-29,Man,Bachelor’s degree,Data Analyst,3-5 years,"70,000-79,999",1,"1",1,,,,
1276,2420,35-39,Man,Master’s degree,Data Analyst,3-5 years,"70,000-79,999",1,"1",,,,,
1277,2423,25-29,Woman,Bachelor’s degree,Business Analyst,1-2 years,$0-999,1,,,,,,
1278,2428,40-44,Man,Bachelor’s degree,Software Engineer,10-20 years,"40,000-49,999",1,,,,,,
1279,2429,60-69,Man,Doctoral degree,Software Engineer,20+ years,"3,000-3,999",1,,,,,,
1280,2432,30-34,Man,Bachelor’s degree,Business Analyst,1-2 years,"70,000-79,999",1,,,,,,
1282,2436,40-44,Man,Master’s degree,Business Analyst,1-2 years,"30,000-39,999",1,"1",1,,,,
1283,2437,40-44,Man,Master’s degree,Data Analyst,10-20 years,"150,000-199,999",1,"1",1,1,1,1,
1284,2439,22-24,Man,Bachelor’s degree,Software Engineer,5-10 years,"30,000-39,999",,,,,,,None of these activities are an important part of my role at work
1285,2440,30-34,Man,Master’s degree,Data Scientist,5-10 years,$0-999,1,"1",1,1,1,1,
1286,2442,30-34,Man,Master’s degree,Machine Learning Engineer,1-2 years,"4,000-4,999",1,"1",,1,,,
1287,2443,22-24,Man,Master’s degree,Software Engineer,3-5 years,"2,000-2,999",,,,,,,None of these activities are an important part of my role at work
1288,2444,35-39,Man,Some college/university study without earning a bachelor’s degree,Data Analyst,1-2 years,"5,000-7,499",1,,,,,,
1289,2445,25-29,Man,Master’s degree,Data Scientist,5-10 years,"80,000-89,999",1,"1",1,,1,1,
1290,2446,25-29,Man,Bachelor’s degree,Machine Learning Engineer,5-10 years,"50,000-59,999",1,"1",1,1,1,,
1291,2447,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,$0-999,,,,,1,,
1293,2453,35-39,Woman,Bachelor’s degree,Data Analyst,< 1 years,"20,000-24,999",1,,1,,,1,
1294,2455,22-24,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,$0-999,,,,,1,,
1296,2457,40-44,Man,Master’s degree,Machine Learning Engineer,10-20 years,"300,000-500,000",,,,,1,,
1298,2459,25-29,Man,Master’s degree,Data Scientist,5-10 years,"70,000-79,999",,,1,1,,,
1299,2461,30-34,Other,Bachelor’s degree,Software Engineer,I have never written code,$0-999,,,,,,,None of these activities are an important part of my role at work
1300,2465,25-29,Man,Bachelor’s degree,Statistician,< 1 years,$0-999,1,,,,,,
1301,2466,35-39,Man,Bachelor’s degree,Data Analyst,10-20 years,"3,000-3,999",1,,1,1,1,,
1302,2467,30-34,Man,Master’s degree,Product/Project Manager,3-5 years,"60,000-69,999",1,,,,,,
1303,2472,40-44,Man,Doctoral degree,Data Scientist,10-20 years,"50,000-59,999",,,,,,,
1304,2473,40-44,Woman,Master’s degree,Data Analyst,I have never written code,"100,000-124,999",1,,,,,,
1305,2476,40-44,Man,Doctoral degree,Product/Project Manager,10-20 years,"70,000-79,999",,,1,,,,
1306,2477,30-34,Man,Bachelor’s degree,Business Analyst,1-2 years,"40,000-49,999",1,,1,,,,
1307,2478,25-29,Man,Master’s degree,Data Scientist,5-10 years,"100,000-124,999",1,,,1,,1,
1308,2480,25-29,Man,Master’s degree,Data Scientist,5-10 years,"90,000-99,999",1,"1",1,,1,,
1309,2482,35-39,Man,Master’s degree,Machine Learning Engineer,10-20 years,"5,000-7,499",,,,1,,1,
1310,2483,30-34,Woman,Master’s degree,Data Scientist,5-10 years,"25,000-29,999",1,,1,,1,1,
1311,2484,45-49,Man,Master’s degree,Software Engineer,5-10 years,"20,000-24,999",1,"1",1,,,,
1312,2487,30-34,Man,Master’s degree,Data Scientist,1-2 years,"5,000-7,499",1,,,,,,
1313,2489,18-21,Woman,Master’s degree,Research Scientist,1-2 years,$0-999,1,,,,,1,
1314,2490,25-29,Man,Master’s degree,Business Analyst,5-10 years,"50,000-59,999",1,,,,,,
1315,2491,30-34,Man,Doctoral degree,Research Scientist,< 1 years,"5,000-7,499",1,,,,,,
1316,2492,40-44,Man,Master’s degree,Data Scientist,10-20 years,"60,000-69,999",1,,1,,,,
1317,2495,25-29,Man,Master’s degree,Data Scientist,3-5 years,"100,000-124,999",1,,,1,1,,
1318,2497,55-59,Man,I prefer not to answer,Product/Project Manager,< 1 years,"15,000-19,999",,,,,,,None of these activities are an important part of my role at work
1320,2499,22-24,Man,Master’s degree,Business Analyst,< 1 years,$0-999,1,,1,,,,
1322,2502,22-24,Man,Master’s degree,Research Scientist,1-2 years,"3,000-3,999",1,,1,,1,,
1323,2504,60-69,Man,Doctoral degree,Business Analyst,20+ years,"40,000-49,999",1,,,,,,
1324,2505,25-29,Man,Master’s degree,Machine Learning Engineer,5-10 years,"50,000-59,999",1,"1",1,1,1,,
1325,2506,30-34,Other,Master’s degree,Software Engineer,10-20 years,"60,000-69,999",,,1,,1,,
1326,2507,25-29,Man,Master’s degree,Data Scientist,3-5 years,"7,500-9,999",,,1,,1,,
1329,2515,30-34,Man,Master’s degree,Machine Learning Engineer,I have never written code,"5,000-7,499",,,,,,,None of these activities are an important part of my role at work
1330,2516,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,"5,000-7,499",,"1",,,,,
1331,2517,25-29,Man,Master’s degree,Data Engineer,3-5 years,"30,000-39,999",1,"1",,,,,
1332,2518,25-29,Man,Master’s degree,Software Engineer,5-10 years,"5,000-7,499",,,,,,1,
1333,2520,18-21,Man,Bachelor’s degree,Data Scientist,1-2 years,$0-999,1,,,,,,
1334,2521,55-59,Woman,Doctoral degree,Research Scientist,10-20 years,"60,000-69,999",1,,,,,,
1335,2523,30-34,Man,Master’s degree,Business Analyst,3-5 years,"30,000-39,999",1,"1",1,,,,
1336,2524,22-24,Man,Master’s degree,Machine Learning Engineer,3-5 years,"30,000-39,999",,,1,1,1,1,
1337,2525,30-34,Man,Master’s degree,Data Scientist,10-20 years,"150,000-199,999",1,"1",,,1,,
1338,2527,25-29,Man,Master’s degree,Data Engineer,3-5 years,$0-999,1,,,,,,
1339,2531,45-49,Man,Some college/university study without earning a bachelor’s degree,Research Scientist,5-10 years,"70,000-79,999",1,"1",,1,,1,
1340,2532,30-34,Man,Bachelor’s degree,Software Engineer,5-10 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
1341,2533,35-39,Man,Doctoral degree,Data Scientist,3-5 years,"15,000-19,999",1,,1,1,1,1,
1342,2535,22-24,Man,Bachelor’s degree,Software Engineer,1-2 years,$0-999,1,,,,,,
1343,2539,18-21,Woman,Bachelor’s degree,Data Analyst,1-2 years,$0-999,1,,,,,,
1345,2541,30-34,Man,Bachelor’s degree,Business Analyst,3-5 years,"7,500-9,999",1,"1",,,,,
1346,2542,22-24,Man,Master’s degree,Data Scientist,5-10 years,"50,000-59,999",,"1",,1,,,
1347,2543,45-49,Man,I prefer not to answer,DBA/Database Engineer,< 1 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
1348,2544,45-49,Man,Master’s degree,Statistician,10-20 years,$0-999,,,,,,,None of these activities are an important part of my role at work
1349,2545,30-34,Man,Master’s degree,Data Scientist,3-5 years,"15,000-19,999",1,,1,1,1,,
1350,2547,35-39,Woman,Doctoral degree,Data Analyst,5-10 years,"300,000-500,000",1,,,,,,
1352,2549,50-54,Man,Master’s degree,Software Engineer,20+ years,"150,000-199,999",1,"1",1,,,,
1353,2550,25-29,Man,Bachelor’s degree,DBA/Database Engineer,3-5 years,"5,000-7,499",,"1",,,,,
1354,2552,22-24,Man,Master’s degree,Data Scientist,3-5 years,"5,000-7,499",1,"1",,,,,
1355,2558,25-29,Man,Bachelor’s degree,Data Scientist,3-5 years,"15,000-19,999",1,,,1,,,
1356,2559,30-34,Man,Master’s degree,Data Analyst,3-5 years,"50,000-59,999",,"1",,,,,
1357,2560,35-39,Woman,Master’s degree,Data Scientist,5-10 years,"20,000-24,999",1,,1,,1,,
1358,2562,18-21,Man,Bachelor’s degree,Data Scientist,3-5 years,"125,000-149,999",1,"1",1,1,1,1,
1359,2563,18-21,Man,No formal education past high school,Software Engineer,3-5 years,"2,000-2,999",1,,,,,,
1361,2565,35-39,Man,Doctoral degree,Research Scientist,10-20 years,$0-999,,,,,1,1,
1362,2566,25-29,Woman,Doctoral degree,Data Scientist,< 1 years,"40,000-49,999",,,,,,1,
1363,2567,50-54,Woman,Doctoral degree,Statistician,20+ years,"90,000-99,999",,,,,,,
1364,2571,30-34,Man,Master’s degree,Data Scientist,5-10 years,"90,000-99,999",1,,1,1,,,
1365,2572,22-24,Man,Master’s degree,Research Scientist,1-2 years,"30,000-39,999",,,,1,1,1,
1366,2573,30-34,Man,Master’s degree,Machine Learning Engineer,10-20 years,$0-999,,"1",1,1,,,
1367,2574,45-49,Other,Master’s degree,Software Engineer,20+ years,"125,000-149,999",1,"1",1,1,,,
1368,2575,25-29,Man,Master’s degree,Research Scientist,5-10 years,"300,000-500,000",,,,,,1,
1369,2576,25-29,Other,Master’s degree,Research Scientist,< 1 years,"1,000-1,999",,,,,,1,
1370,2577,22-24,Man,Bachelor’s degree,Data Analyst,3-5 years,"60,000-69,999",1,"1",,,,,
1371,2579,45-49,Man,No formal education past high school,Data Scientist,3-5 years,"10,000-14,999",,,,,,,None of these activities are an important part of my role at work
1372,2582,25-29,Man,Master’s degree,Data Scientist,< 1 years,$0-999,1,"1",1,1,,,
1373,2583,30-34,Man,Bachelor’s degree,Data Analyst,5-10 years,"90,000-99,999",1,"1",1,,,1,
1374,2585,35-39,Man,Bachelor’s degree,Data Analyst,< 1 years,"3,000-3,999",,,,,1,,
1375,2587,35-39,Man,Bachelor’s degree,Software Engineer,10-20 years,"20,000-24,999",1,,1,,,,
1376,2589,40-44,Woman,Doctoral degree,Research Scientist,10-20 years,$0-999,,,,,,1,
1377,2591,45-49,Man,Bachelor’s degree,Data Engineer,10-20 years,"70,000-79,999",1,"1",1,,,,
1378,2592,30-34,Man,Bachelor’s degree,Data Scientist,3-5 years,"40,000-49,999",,,,1,,,
1379,2593,30-34,Man,Master’s degree,Software Engineer,5-10 years,"40,000-49,999",,,,,,,None of these activities are an important part of my role at work
1380,2595,25-29,Man,Doctoral degree,Data Scientist,3-5 years,"15,000-19,999",1,,,,,,
1381,2597,25-29,Man,Bachelor’s degree,Machine Learning Engineer,1-2 years,"15,000-19,999",1,"1",1,,1,,
1382,2598,30-34,Man,Bachelor’s degree,Software Engineer,1-2 years,"1,000-1,999",1,,,,1,,
1383,2599,22-24,Man,Bachelor’s degree,Software Engineer,5-10 years,"90,000-99,999",1,,,1,1,,
1384,2600,22-24,Man,Bachelor’s degree,Data Scientist,1-2 years,$0-999,1,,,,,,
1385,2602,30-34,Man,Some college/university study without earning a bachelor’s degree,Product/Project Manager,< 1 years,"10,000-14,999",1,"1",,,,,
1386,2604,45-49,Man,Master’s degree,Research Scientist,I have never written code,$0-999,1,,,,,,
1387,2605,25-29,Man,Master’s degree,Data Analyst,< 1 years,$0-999,1,"1",,,,,
1389,2607,35-39,Woman,Master’s degree,Data Scientist,< 1 years,"7,500-9,999",1,"1",1,1,,,
1390,2609,60-69,Man,Bachelor’s degree,Data Scientist,< 1 years,"4,000-4,999",,,,1,1,,
1391,2610,40-44,Woman,Master’s degree,Software Engineer,20+ years,"30,000-39,999",1,,,,,,
1392,2611,55-59,Man,Doctoral degree,Data Scientist,20+ years,"15,000-19,999",,,1,1,1,1,
1393,2612,35-39,Man,Master’s degree,Business Analyst,< 1 years,"4,000-4,999",1,,,,,1,
